Order Date,Sales,3_Month_MA,6_Month_MA,Month,Month_Name,MoM_Growth_%
2014-01-01,14236.895,,,1,Jan,
2014-02-01,4519.892,,,2,Feb,-68.25226287052058
2014-03-01,55691.009,24815.932,,3,Mar,1132.1314093345593
2014-04-01,28295.345,29502.081999999995,,4,Apr,-49.192256509484324
2014-05-01,23648.287,35878.21366666667,,5,May,-16.42340109300664
2014-06-01,34595.1276,28846.253199999996,26831.0926,6,Jun,46.290205290556564
2014-07-01,33946.393,30729.935866666663,30116.00893333333,7,Jul,-1.8752195612656286
2014-08-01,27909.4685,32150.3297,34014.27168333333,8,Aug,-17.78369943457615
2014-09-01,81777.3508,47877.73743333333,38361.99531666667,9,Sep,193.0093448393688
2014-10-01,31453.393,47046.73743333333,38888.33665,10,Oct,-61.53776969747472
2014-11-01,78628.7167,63953.15349999999,48051.7416,11,Nov,149.98484805756885
2014-12-01,69545.6205,59875.91006666666,53876.82375,12,Dec,-11.551881527782836
2015-01-01,18174.0756,55449.47093333333,51248.10418333334,1,Jan,-73.867404634056
2015-02-01,11951.411,33223.702366666665,48588.427933333325,2,Feb,-34.239235804653525
2015-03-01,38726.252,22950.579533333326,41413.24479999999,3,Mar,224.0307943555786
2015-04-01,34195.2085,28290.95716666666,41870.214049999995,4,Apr,-11.700185961708865
2015-05-01,30131.6865,34351.04899999999,33787.37568333333,5,May,-11.883308154123407
2015-06-01,24797.292,29708.06233333333,26329.320933333333,6,Jun,-17.70360414442782
2015-07-01,28765.325,27898.10116666666,28094.529166666664,7,Jul,16.00188036661423
2015-08-01,36898.3322,30153.64973333333,32252.349366666665,8,Aug,28.273649611120312
2015-09-01,64595.918,43419.8584,36563.960366666666,9,Sep,75.06460088729973
2015-10-01,31404.9235,44299.724566666664,36098.91286666666,10,Oct,-51.38249525302822
2015-11-01,75972.5635,57324.46833333332,43739.05903333333,11,Nov,141.91290738218166
2015-12-01,74919.5212,60765.66939999999,52092.7639,12,Dec,-1.3860823585346016
2016-01-01,18542.490999999998,56478.1919,50388.95823333333,1,Jan,-75.2501207922829
2016-02-01,22978.815,38813.609066666664,48069.0387,2,Feb,23.925178121968614
2016-03-01,51715.875,31079.060333333327,45922.36486666667,3,Mar,125.05892927899023
2016-04-01,38750.039000000004,37814.90966666667,47146.55078333333,4,Apr,-25.07128807160276
2016-05-01,56987.728,49151.214,43982.41153333333,5,May,47.06495650236635
2016-06-01,40344.534,45360.76699999999,38219.91366666667,6,Jun,-29.20487372298822
2016-07-01,39261.963,45531.408333333326,41673.15899999999,7,Jul,-2.6833151673036904
2016-08-01,31115.3743,36907.29043333333,43029.25221666667,8,Aug,-20.749315819996074
2016-09-01,73410.0249,47929.12073333332,46644.94386666666,9,Sep,135.9284647911178
2016-10-01,59687.745,54737.71473333333,50134.56153333333,10,Oct,-18.692651199468536
2016-11-01,79411.9658,70836.57856666666,53871.934499999996,11,Nov,33.045679309881784
2016-12-01,96999.043,78699.5846,63314.35266666667,12,Dec,22.146633725568844
2017-01-01,43971.374,73460.79426666666,64099.2545,1,Jan,-54.66823935572231
2017-02-01,20301.1334,53757.18346666666,62296.88101666667,2,Feb,-53.83102333804717
2017-03-01,58872.3528,41048.28673333332,59873.935666666664,3,Mar,189.99539897609856
2017-04-01,36521.5361,38565.00743333332,56012.90085,4,Apr,-37.96487763268058
2017-05-01,44261.1102,46551.66636666665,50154.42491666666,5,May,21.19180879689233
2017-06-01,52981.7257,44588.12399999999,42818.20536666666,6,Jun,19.702658746232714
2017-07-01,45264.416,47502.417299999994,43033.71236666666,7,Jul,-14.565984021920986
2017-08-01,63120.888,53789.00989999998,50170.33813333333,8,Aug,39.449248610652575
2017-09-01,87866.652,65417.31866666665,55002.72133333333,9,Sep,39.203764053509516
2017-10-01,77776.9232,76254.82106666666,61878.61918333333,10,Oct,-11.483001309757423
2017-11-01,118447.825,94697.13339999999,74243.07165,11,Nov,52.291734008835135
2017-12-01,83829.3188,93351.35566666664,79384.33716666665,12,Dec,-29.22679770607861
